Fila_atuacao;UF_Loja;Analista;Data;Status;TMA;Valor
Contato;PI;Gavrielle O' Neligan;01/06/2023;Aprovação;00:14:56;R$ 13.371,00
Contato;SP;Boyce Tennant;01/06/2023;Aprovação;00:12:14;R$ 16.235,00
Agendamento;AL;Abbie Capin;01/06/2023;Pendência;00:13:52;R$ 24.142,00
Agendamento;BA;Osgood Castaignet;01/06/2023;Aprovação;00:15:06;R$ 3.178,00
Contato;PI;Lilas Brahms;01/06/2023;Pendência;00:20:56;R$ 8.536,00
Vendas;AM;Obadiah Kinde;01/06/2023;Aprovação;00:16:11;R$ 22.842,00
Vendas;RO;Erma Larn;01/06/2023;Aprovação;00:04:37;R$ 1.023,00
Agendamento;RN;Joli Trebilcock;01/06/2023;Pendência;00:13:48;R$ 24.848,00
Agendamento;RJ;Obadiah Kinde;01/06/2023;Fraude;00:14:56;R$ 8.653,00
Contato;GO;Idette Thyer;01/06/2023;Fraude;00:24:20;R$ 13.190,00
Contato;AL;Leonardo Davion;01/06/2023;Fraude;00:03:17;R$ 18.488,00
Contato;BA;Natal Domoney;01/06/2023;Reprova;00:18:17;R$ 24.929,00
Vendas;SC;Christoforo Colquyte;01/06/2023;Aprovação;00:02:29;R$ 9.812,00
Agendamento;SP;Tawsha Fincher;01/06/2023;Aprovação;00:13:34;R$ 3.433,00
Agendamento;GO;Obadiah Kinde;01/06/2023;Fraude;00:25:07;R$ 21.485,00
Vendas;GO;Jodi Moyle;01/06/2023;Fraude;00:18:30;R$ 1.311,00
Agendamento;SC;Obadiah Kinde;01/06/2023;Aprovação;00:21:29;R$ 19.390,00
Vendas;TO;Gavrielle O' Neligan;01/06/2023;Reprova;00:08:31;R$ 8.429,00
Vendas;ES;Lucie Mongan;01/06/2023;Aprovação;00:14:48;R$ 19.642,00
Contato;RJ;Osgood Castaignet;01/06/2023;Fraude;00:15:28;R$ 11.001,00
Contato;AM;Lucie Mongan;01/06/2023;Aprovação;00:22:28;R$ 340,00
Contato;RN;Cathryn MacGibbon;01/06/2023;Pendência;00:27:08;R$ 24.167,00
Agendamento;RN;Osgood Castaignet;01/06/2023;Aprovação;00:03:36;R$ 20.947,00
Vendas;BA;Leonardo Davion;01/06/2023;Pendência;00:17:12;R$ 19.698,00
Contato;SP;Serena Bale;01/06/2023;Fraude;00:07:34;R$ 5.139,00
Vendas;PE;Obadiah Kinde;01/06/2023;Fraude;00:24:43;R$ 7.845,00
Vendas;TO;Idette Thyer;01/06/2023;Aprovação;00:02:04;R$ 21.956,00
Contato;TO;Stuart Sarl;01/06/2023;Aprovação;00:05:22;R$ 8.175,00
Agendamento;RJ;Lucie Mongan;01/06/2023;Aprovação;00:03:14;R$ 18.561,00
Contato;GO;Sianna Maypowder;01/06/2023;Aprovação;00:08:07;R$ 9.554,00
Contato;SP;Jermain Tolle;01/06/2023;Fraude;00:17:23;R$ 12.634,00
Agendamento;BA;Seth Coley;01/06/2023;Aprovação;00:18:34;R$ 24.193,00
Vendas;RS;Joli Trebilcock;01/06/2023;Aprovação;00:07:23;R$ 9.451,00
Vendas;DF;Lucie Mongan;01/06/2023;Fraude;00:22:52;R$ 23.869,00
Vendas;RN;Jodi Moyle;01/06/2023;Fraude;00:23:31;R$ 20.823,00
Contato;MS;Leonardo Davion;01/06/2023;Aprovação;00:17:20;R$ 24.272,00
Vendas;MS;Abbie Capin;01/06/2023;Reprova;00:02:09;R$ 11.062,00
Contato;SP;Seth Coley;01/06/2023;Aprovação;00:17:38;R$ 15.742,00
Agendamento;MS;Lucie Mongan;01/06/2023;Fraude;00:08:04;R$ 8.219,00
Vendas;MS;Bank Vertigan;01/06/2023;Fraude;00:09:21;R$ 12.988,00
Contato;ES;Joli Trebilcock;01/06/2023;Aprovação;00:07:12;R$ 18.373,00
Vendas;MG;Rolland d'Escoffier;01/06/2023;Pendência;00:28:10;R$ 20.098,00
Agendamento;MA;Jodi Moyle;01/06/2023;Aprovação;00:15:39;R$ 19.082,00
Vendas;RJ;Cathryn MacGibbon;01/06/2023;Aprovação;00:07:09;R$ 21.470,00
Contato;RN;Natal Domoney;01/06/2023;Pendência;00:03:24;R$ 18.685,00
Vendas;AC;Christean Birrel;01/06/2023;Reprova;00:02:13;R$ 12.383,00
Contato;PB;Shanda Ismay;01/06/2023;Pendência;00:08:45;R$ 9.783,00
Contato;PB;Seth Coley;01/06/2023;Fraude;00:11:17;R$ 5.088,00
Vendas;MT;Lilas Brahms;01/06/2023;Pendência;00:14:13;R$ 3.034,00
Vendas;RJ;Kenyon Baugh;01/06/2023;Pendência;00:09:13;R$ 21.309,00
Contato;PE;Leonardo Davion;01/06/2023;Reprova;00:26:07;R$ 20.687,00
Contato;SP;Lucie Mongan;01/06/2023;Fraude;00:03:08;R$ 16.991,00
Vendas;RN;Obadiah Kinde;01/06/2023;Aprovação;00:07:27;R$ 13.242,00
Vendas;RR;Tawsha Fincher;01/06/2023;Reprova;00:20:31;R$ 22.904,00
Agendamento;PE;Carlita Yoakley;01/06/2023;Aprovação;00:18:05;R$ 12.581,00
Vendas;MA;Byron Fairbard;01/06/2023;Reprova;00:20:19;R$ 20.337,00
Agendamento;PA;Byron Fairbard;01/06/2023;Aprovação;00:01:44;R$ 9.994,00
Agendamento;SE;Lucie Mongan;01/06/2023;Pendência;00:12:49;R$ 22.971,00
Vendas;BA;Boyce Tennant;01/06/2023;Aprovação;00:02:49;R$ 7.433,00
Agendamento;DF;Sianna Maypowder;01/06/2023;Reprova;00:10:14;R$ 469,00
Vendas;AM;Joli Trebilcock;01/06/2023;Aprovação;00:22:05;R$ 16.523,00
Agendamento;GO;Idette Thyer;01/06/2023;Aprovação;00:10:01;R$ 20.019,00
Vendas;PA;Boyce Tennant;01/06/2023;Fraude;00:13:12;R$ 22.436,00
Contato;PI;Gavrielle O' Neligan;01/06/2023;Fraude;00:24:07;R$ 5.781,00
Agendamento;MS;Sianna Maypowder;01/06/2023;Aprovação;00:16:03;R$ 23.856,00
Contato;AL;Abbie Capin;01/06/2023;Pendência;00:29:30;R$ 7.770,00
Vendas;MT;Leonardo Davion;01/06/2023;Aprovação;00:23:58;R$ 9.585,00
Agendamento;RN;Christean Birrel;01/06/2023;Aprovação;00:15:19;R$ 19.671,00
Agendamento;RR;Rolland d'Escoffier;01/06/2023;Fraude;00:13:42;R$ 1.357,00
Contato;PA;Shanda Ismay;01/06/2023;Aprovação;00:22:59;R$ 16.003,00
Agendamento;BA;Byron Fairbard;01/06/2023;Aprovação;00:13:01;R$ 11.750,00
Vendas;AC;Joli Trebilcock;01/06/2023;Pendência;00:01:44;R$ 8.607,00
Agendamento;DF;Stuart Sarl;01/06/2023;Reprova;00:25:05;R$ 2.406,00
Contato;MG;Osgood Castaignet;01/06/2023;Aprovação;00:10:31;R$ 21.189,00
Vendas;BA;Cathryn MacGibbon;01/06/2023;Pendência;00:06:51;R$ 7.781,00
Vendas;RJ;Byron Fairbard;01/06/2023;Fraude;00:29:16;R$ 17.737,00
Contato;RS;Lucie Mongan;01/06/2023;Aprovação;00:12:26;R$ 1.056,00
Vendas;MG;Erma Larn;01/06/2023;Aprovação;00:11:38;R$ 5.512,00
Agendamento;AP;Kenyon Baugh;01/06/2023;Pendência;00:09:25;R$ 10.278,00
Agendamento;AC;Gavrielle O' Neligan;01/06/2023;Pendência;00:25:32;R$ 22.932,00
Contato;RS;Seth Coley;01/06/2023;Aprovação;00:29:54;R$ 2.331,00
Contato;DF;Cathryn MacGibbon;01/06/2023;Reprova;00:09:49;R$ 22.868,00
Agendamento;SE;Jodi Moyle;01/06/2023;Pendência;00:26:31;R$ 6.545,00
Vendas;PA;Lucie Mongan;01/06/2023;Reprova;00:20:36;R$ 5.718,00
Agendamento;PA;Katya Craghead;01/06/2023;Pendência;00:29:42;R$ 22.899,00
Agendamento;SC;Tawsha Fincher;01/06/2023;Reprova;00:21:40;R$ 10.218,00
Contato;ES;Gavrielle O' Neligan;01/06/2023;Aprovação;00:04:30;R$ 5.931,00
Vendas;ES;Boyce Tennant;01/06/2023;Pendência;00:18:31;R$ 4.092,00
Vendas;RJ;Stuart Sarl;01/06/2023;Aprovação;00:27:00;R$ 12.499,00
Contato;AM;Erma Larn;01/06/2023;Fraude;00:02:46;R$ 3.799,00
Agendamento;PB;Obadiah Kinde;01/06/2023;Fraude;00:24:58;R$ 16.763,00
Contato;PI;Christoforo Colquyte;01/06/2023;Aprovação;00:10:23;R$ 530,00
Vendas;BA;Natal Domoney;01/06/2023;Aprovação;00:11:50;R$ 23.676,00
Agendamento;DF;Christoforo Colquyte;01/06/2023;Aprovação;00:29:34;R$ 19.522,00
Vendas;CE;Boyce Tennant;01/06/2023;Fraude;00:05:57;R$ 6.496,00
Agendamento;AC;Stuart Sarl;01/06/2023;Reprova;00:07:36;R$ 17.762,00
Vendas;PE;Natal Domoney;01/06/2023;Aprovação;00:02:49;R$ 20.120,00
Agendamento;RN;Joli Trebilcock;01/06/2023;Fraude;00:03:35;R$ 5.439,00
Vendas;AM;Seth Coley;01/06/2023;Aprovação;00:23:21;R$ 6.442,00
Vendas;AM;Abbie Capin;01/06/2023;Fraude;00:29:55;R$ 15.965,00
Contato;CE;Katya Craghead;01/06/2023;Aprovação;00:18:30;R$ 8.225,00
Vendas;RO;Jermain Tolle;01/06/2023;Aprovação;00:14:58;R$ 3.475,00
Vendas;RR;Joli Trebilcock;01/06/2023;Fraude;00:27:27;R$ 14.268,00
Contato;SC;Kenyon Baugh;01/06/2023;Fraude;00:02:46;R$ 9.589,00
Agendamento;MG;Jodi Moyle;01/06/2023;Aprovação;00:14:30;R$ 20.674,00
Contato;PA;Natal Domoney;01/06/2023;Reprova;00:25:57;R$ 9.252,00
Agendamento;CE;Kenyon Baugh;01/06/2023;Fraude;00:29:57;R$ 24.085,00
Contato;AL;Lilas Brahms;01/06/2023;Pendência;00:03:07;R$ 19.380,00
Contato;GO;Serena Bale;01/06/2023;Aprovação;00:22:17;R$ 19.432,00
Agendamento;AC;Jermain Tolle;01/06/2023;Aprovação;00:27:54;R$ 2.507,00
Agendamento;RN;Christean Birrel;01/06/2023;Fraude;00:03:54;R$ 16.018,00
Vendas;ES;Christoforo Colquyte;01/06/2023;Aprovação;00:02:58;R$ 4.145,00
Agendamento;RJ;Stuart Sarl;01/06/2023;Aprovação;00:02:54;R$ 10.405,00
Vendas;PR;Serena Bale;01/06/2023;Aprovação;00:16:27;R$ 4.511,00
Agendamento;MA;Erma Larn;01/06/2023;Pendência;00:12:24;R$ 16.572,00
Agendamento;MA;Seth Coley;01/06/2023;Fraude;00:02:04;R$ 17.190,00
Contato;CE;Jermain Tolle;01/06/2023;Pendência;00:21:09;R$ 12.866,00
Contato;SE;Tawsha Fincher;01/06/2023;Pendência;00:07:48;R$ 15.220,00
Agendamento;CE;Lucie Mongan;01/06/2023;Fraude;00:03:06;R$ 11.085,00
Vendas;SE;Katya Craghead;01/06/2023;Aprovação;00:20:21;R$ 10.595,00
Contato;MG;Carlita Yoakley;01/06/2023;Aprovação;00:09:52;R$ 4.022,00
Agendamento;CE;Gavrielle O' Neligan;01/06/2023;Aprovação;00:11:08;R$ 5.311,00
Contato;PR;Leonardo Davion;01/06/2023;Pendência;00:24:31;R$ 14.645,00
Contato;MT;Christean Birrel;01/06/2023;Aprovação;00:22:57;R$ 23.614,00
Agendamento;PR;Joli Trebilcock;01/06/2023;Aprovação;00:29:04;R$ 18.025,00
Contato;AC;Natal Domoney;01/06/2023;Reprova;00:25:53;R$ 2.494,00
Contato;RJ;Kenyon Baugh;01/06/2023;Reprova;00:02:40;R$ 14.822,00
Vendas;SC;Kenyon Baugh;01/06/2023;Pendência;00:19:11;R$ 22.208,00
Contato;PR;Gavrielle O' Neligan;01/06/2023;Pendência;00:15:12;R$ 3.564,00
Contato;RN;Katya Craghead;01/06/2023;Fraude;00:12:18;R$ 871,00
Vendas;TO;Christoforo Colquyte;01/06/2023;Aprovação;00:03:49;R$ 22.548,00
Vendas;PI;Jermain Tolle;01/06/2023;Aprovação;00:19:27;R$ 1.736,00
Contato;RO;Byron Fairbard;01/06/2023;Fraude;00:05:10;R$ 8.163,00
Agendamento;SP;Katya Craghead;01/06/2023;Reprova;00:06:29;R$ 11.433,00
Vendas;MG;Jermain Tolle;01/06/2023;Fraude;00:22:51;R$ 2.395,00
Agendamento;MA;Katya Craghead;01/06/2023;Aprovação;00:18:26;R$ 21.009,00
Contato;RS;Seth Coley;01/06/2023;Aprovação;00:03:23;R$ 12.414,00
Agendamento;RJ;Obadiah Kinde;01/06/2023;Aprovação;00:03:35;R$ 22.918,00
Agendamento;MA;Kenyon Baugh;01/06/2023;Fraude;00:07:07;R$ 21.653,00
Contato;MA;Rolland d'Escoffier;01/06/2023;Aprovação;00:19:04;R$ 10.031,00
Agendamento;AP;Erma Larn;01/06/2023;Aprovação;00:01:20;R$ 15.915,00
Agendamento;MT;Katya Craghead;01/06/2023;Pendência;00:21:53;R$ 6.192,00
Contato;RN;Leonardo Davion;01/06/2023;Fraude;00:16:36;R$ 7.997,00
Agendamento;AL;Katya Craghead;01/06/2023;Aprovação;00:17:14;R$ 18.542,00
Contato;MS;Bank Vertigan;01/06/2023;Aprovação;00:14:42;R$ 2.545,00
Contato;MG;Joli Trebilcock;01/06/2023;Fraude;00:11:14;R$ 23.989,00
Agendamento;DF;Osgood Castaignet;01/06/2023;Aprovação;00:28:53;R$ 14.842,00
Agendamento;DF;Stuart Sarl;01/06/2023;Pendência;00:09:19;R$ 13.671,00
Contato;TO;Boyce Tennant;01/06/2023;Aprovação;00:20:49;R$ 5.469,00
Agendamento;RR;Rolland d'Escoffier;01/06/2023;Fraude;00:15:22;R$ 21.785,00
Agendamento;MT;Gavrielle O' Neligan;01/06/2023;Aprovação;00:11:50;R$ 18.053,00
Contato;CE;Abbie Capin;01/06/2023;Aprovação;00:28:16;R$ 9.132,00
Agendamento;TO;Gavrielle O' Neligan;01/06/2023;Reprova;00:29:00;R$ 12.704,00
Vendas;MG;Idette Thyer;01/06/2023;Aprovação;00:02:20;R$ 6.920,00
Vendas;MS;Christean Birrel;01/06/2023;Aprovação;00:17:23;R$ 3.019,00
Contato;AP;Sianna Maypowder;01/06/2023;Aprovação;00:25:27;R$ 4.934,00
Agendamento;PR;Obadiah Kinde;01/06/2023;Fraude;00:18:39;R$ 3.023,00
Vendas;PI;Jodi Moyle;01/06/2023;Aprovação;00:13:24;R$ 13.490,00
Agendamento;AM;Carol-jean Bortolotti;01/06/2023;Pendência;00:23:13;R$ 12.533,00
Vendas;PE;Lilas Brahms;01/06/2023;Aprovação;00:02:04;R$ 19.710,00
Agendamento;PR;Osgood Castaignet;01/06/2023;Aprovação;00:09:21;R$ 21.549,00
Vendas;PE;Abbie Capin;01/06/2023;Pendência;00:19:03;R$ 7.523,00
Agendamento;PE;Shanda Ismay;01/06/2023;Fraude;00:13:04;R$ 8.985,00
Agendamento;TO;Boyce Tennant;01/06/2023;Reprova;00:04:21;R$ 19.181,00
Vendas;AP;Katya Craghead;01/06/2023;Fraude;00:19:38;R$ 9.968,00
Vendas;AL;Gavrielle O' Neligan;01/06/2023;Aprovação;00:02:59;R$ 22.968,00
Vendas;TO;Byron Fairbard;01/06/2023;Aprovação;00:23:04;R$ 804,00
Contato;SE;Gavrielle O' Neligan;01/06/2023;Aprovação;00:28:33;R$ 6.338,00
Vendas;DF;Lilas Brahms;01/06/2023;Pendência;00:10:03;R$ 2.710,00
Vendas;GO;Leonardo Davion;01/06/2023;Aprovação;00:17:38;R$ 5.253,00
Vendas;RS;Lilas Brahms;01/06/2023;Fraude;00:05:58;R$ 3.888,00
Contato;RR;Cathryn MacGibbon;01/06/2023;Aprovação;00:17:46;R$ 10.361,00
Contato;RO;Leonardo Davion;01/06/2023;Pendência;00:23:16;R$ 2.006,00
Vendas;RR;Seth Coley;01/06/2023;Reprova;00:14:51;R$ 9.976,00
Vendas;PE;Rolland d'Escoffier;01/06/2023;Pendência;00:11:18;R$ 11.743,00
Contato;DF;Christean Birrel;01/06/2023;Aprovação;00:04:54;R$ 4.841,00
Contato;ES;Jermain Tolle;01/06/2023;Fraude;00:21:55;R$ 1.445,00
Vendas;PB;Stuart Sarl;01/06/2023;Pendência;00:09:55;R$ 6.052,00
Contato;GO;Carol-jean Bortolotti;01/06/2023;Aprovação;00:19:05;R$ 3.640,00
Agendamento;CE;Natal Domoney;01/06/2023;Aprovação;00:03:20;R$ 6.922,00
Vendas;RS;Seth Coley;01/06/2023;Fraude;00:21:05;R$ 4.772,00
Vendas;BA;Sianna Maypowder;01/06/2023;Aprovação;00:29:30;R$ 5.239,00
Contato;CE;Jodi Moyle;01/06/2023;Aprovação;00:07:37;R$ 14.126,00
Contato;RR;Christoforo Colquyte;01/06/2023;Aprovação;00:23:59;R$ 23.931,00
Vendas;RO;Cathryn MacGibbon;01/06/2023;Fraude;00:05:46;R$ 24.204,00
Contato;SP;Bank Vertigan;01/06/2023;Fraude;00:13:01;R$ 13.623,00
Contato;AM;Natal Domoney;01/06/2023;Aprovação;00:07:05;R$ 6.585,00
Contato;GO;Shanda Ismay;01/06/2023;Reprova;00:28:36;R$ 5.552,00
Agendamento;MG;Boyce Tennant;01/06/2023;Fraude;00:24:35;R$ 16.161,00
Agendamento;SE;Rolland d'Escoffier;01/06/2023;Aprovação;00:25:48;R$ 6.784,00
Vendas;AP;Joli Trebilcock;01/06/2023;Aprovação;00:08:38;R$ 21.465,00
Vendas;PI;Cathryn MacGibbon;01/06/2023;Pendência;00:17:36;R$ 19.143,00
Contato;MT;Kenyon Baugh;01/06/2023;Pendência;00:03:00;R$ 13.226,00
Agendamento;DF;Bank Vertigan;01/06/2023;Fraude;00:04:11;R$ 3.880,00
Agendamento;SE;Cathryn MacGibbon;01/06/2023;Fraude;00:06:47;R$ 21.332,00
Agendamento;CE;Lucie Mongan;01/06/2023;Fraude;00:04:33;R$ 19.385,00
Contato;TO;Idette Thyer;01/06/2023;Aprovação;00:26:12;R$ 20.981,00
Contato;ES;Rolland d'Escoffier;01/06/2023;Fraude;00:16:50;R$ 11.363,00
Vendas;AL;Stuart Sarl;01/06/2023;Aprovação;00:20:15;R$ 8.810,00
Vendas;PE;Obadiah Kinde;01/06/2023;Pendência;00:13:24;R$ 18.471,00
Agendamento;CE;Sianna Maypowder;01/06/2023;Fraude;00:23:31;R$ 9.681,00
Agendamento;MT;Idette Thyer;01/06/2023;Aprovação;00:24:32;R$ 11.061,00
Agendamento;GO;Lilas Brahms;01/06/2023;Pendência;00:02:54;R$ 23.099,00
Agendamento;RS;Idette Thyer;01/06/2023;Fraude;00:08:14;R$ 2.250,00
Vendas;SP;Stuart Sarl;01/06/2023;Pendência;00:23:35;R$ 17.062,00
Contato;AL;Tawsha Fincher;01/06/2023;Fraude;00:21:20;R$ 12.322,00
Agendamento;RS;Jodi Moyle;01/06/2023;Pendência;00:07:28;R$ 10.181,00
Vendas;RR;Kenyon Baugh;01/06/2023;Fraude;00:07:40;R$ 6.100,00
Contato;RJ;Erma Larn;01/06/2023;Pendência;00:04:16;R$ 13.191,00
Contato;RJ;Leonardo Davion;01/06/2023;Pendência;00:20:04;R$ 12.711,00
Contato;AM;Jodi Moyle;01/06/2023;Fraude;00:08:53;R$ 887,00
Vendas;MS;Rolland d'Escoffier;01/06/2023;Aprovação;00:19:34;R$ 19.071,00
Contato;BA;Tawsha Fincher;01/06/2023;Reprova;00:05:05;R$ 21.765,00
Agendamento;AC;Carlita Yoakley;01/06/2023;Fraude;00:04:29;R$ 778,00
Vendas;RS;Rolland d'Escoffier;01/06/2023;Fraude;00:22:35;R$ 23.342,00
Vendas;CE;Tawsha Fincher;01/06/2023;Aprovação;00:14:37;R$ 18.016,00
Vendas;AP;Lilas Brahms;01/06/2023;Aprovação;00:08:23;R$ 14.475,00
Vendas;MS;Byron Fairbard;01/06/2023;Aprovação;00:02:33;R$ 22.552,00
Agendamento;RS;Cathryn MacGibbon;01/06/2023;Aprovação;00:22:30;R$ 2.006,00
Agendamento;CE;Jodi Moyle;01/06/2023;Reprova;00:15:56;R$ 12.151,00
Agendamento;ES;Katya Craghead;01/06/2023;Aprovação;00:26:09;R$ 14.607,00
Agendamento;MS;Lilas Brahms;01/06/2023;Reprova;00:22:07;R$ 3.868,00
Contato;CE;Obadiah Kinde;01/06/2023;Aprovação;00:01:37;R$ 1.357,00
